"Month","river"
"1870-01",99.032
"1870-02",59
"1870-03",47.097
"1870-04",46.667
"1870-05",261.613
"1870-06",890.323
"1870-07",933.333
"1870-08",716.129
"1870-09",493.333
"1870-10",309.032
"1870-11",225.161
"1870-12",172.143
"1871-01",128.387
"1871-02",80.667
"1871-03",63.226
"1871-04",65.667
"1871-05",213.871
"1871-06",774.194
"1871-07",860
"1871-08",567.742
"1871-09",304.333
"1871-10",209.032
"1871-11",144.516
"1871-12",92.5
"1872-01",62.903
"1872-02",52.333
"1872-03",48.387
"1872-04",76
"1872-05",269.677
"1872-06",761.29
"1872-07",910
"1872-08",687.097
"1872-09",430
"1872-10",268.065
"1872-11",189.032
"1872-12",160
"1873-01",106.774
"1873-02",65.333
"1873-03",48.065
"1873-04",120.333
"1873-05",198.387
"1873-06",612.903
"1873-07",726.667
"1873-08",490.323
"1873-09",265.333
"1873-10",177.097
"1873-11",115.806
"1873-12",73.214
"1874-01",57.419
"1874-02",44.667
"1874-03",40.323
"1874-04",83.333
"1874-05",264.516
"1874-06",932.258
"1874-07",1020
"1874-08",696.774
"1874-09",370
"1874-10",250.968
"1874-11",190.968
"1874-12",145.714
"1875-01",91.613
"1875-02",66.667
"1875-03",55.161
"1875-04",60.333
"1875-05",207.097
"1875-06",800
"1875-07",903.333
"1875-08",664.516
"1875-09",383.333
"1875-10",244.516
"1875-11",182.903
"1875-12",160.357
"1876-01",124.516
"1876-02",81.667
"1876-03",62.581
"1876-04",76.667
"1876-05",268.387
"1876-06",761.29
"1876-07",956.667
"1876-08",583.871
"1876-09",327.333
"1876-10",218.065
"1876-11",158.387
"1876-12",109.286
"1877-01",81.613
"1877-02",66.333
"1877-03",62.581
"1877-04",84
"1877-05",228.065
"1877-06",509.677
"1877-07",556.667
"1877-08",406.452
"1877-09",246.333
"1877-10",157.097
"1877-11",118.71
"1877-12",81.786
"1878-01",58.71
"1878-02",47
"1878-03",40.323
"1878-04",44
"1878-05",184.516
"1878-06",712.903
"1878-07",1066.667
"1878-08",883.871
"1878-09",480
"1878-10",325.806
"1878-11",248.387
"1878-12",207.5
"1879-01",184.516
"1879-02",159.667
"1879-03",146.774
"1879-04",172
"1879-05",341.935
"1879-06",822.581
"1879-07",923.333
"1879-08",625.806
"1879-09",376.667
"1879-10",277.419
"1879-11",226.774
"1879-12",202.857
"1880-01",157.097
"1880-02",115
"1880-03",92.258
"1880-04",98.667
"1880-05",306.452
"1880-06",725.806
"1880-07",776.667
"1880-08",541.935
"1880-09",282
"1880-10",204.839
"1880-11",154.194
"1880-12",114.286
"1881-01",85.806
"1881-02",65.333
"1881-03",59.677
"1881-04",66
"1881-05",160
"1881-06",580.645
"1881-07",876.667
"1881-08",567.742
"1881-09",322.333
"1881-10",210.968
"1881-11",158.065
"1881-12",116.071
"1882-01",76.452
"1882-02",56.667
"1882-03",47.742
"1882-04",46.333
"1882-05",131.613
"1882-06",587.097
"1882-07",753.333
"1882-08",500
"1882-09",366.667
"1882-10",223.226
"1882-11",161.935
"1882-12",131.786
"1883-01",108.387
"1883-02",75
"1883-03",57.742
"1883-04",61.333
"1883-05",234.194
"1883-06",783.871
"1883-07",883.333
"1883-08",561.29
"1883-09",333
"1883-10",235.806
"1883-11",180
"1883-12",157.143
"1884-01",124.839
"1884-02",89
"1884-03",73.548
"1884-04",76
"1884-05",153.226
"1884-06",574.194
"1884-07",706.667
"1884-08",548.387
"1884-09",356.667
"1884-10",223.871
"1884-11",167.097
"1884-12",126.786
"1885-01",81.935
"1885-02",60.667
"1885-03",48.387
"1885-04",49.333
"1885-05",264.516
"1885-06",800
"1885-07",766.667
"1885-08",509.677
"1885-09",273.667
"1885-10",183.871
"1885-11",129.677
"1885-12",88.214
"1886-01",70.323
"1886-02",60
"1886-03",57.742
"1886-04",66.667
"1886-05",163.548
"1886-06",651.613
"1886-07",843.333
"1886-08",509.677
"1886-09",283.667
"1886-10",222.903
"1886-11",160.645
"1886-12",115
"1887-01",78.71
"1887-02",58.333
"1887-03",60.323
"1887-04",83.667
"1887-05",264.839
"1887-06",925.806
"1887-07",976.667
"1887-08",587.097
"1887-09",333.333
"1887-10",233.226
"1887-11",178.387
"1887-12",120.714
"1888-01",81.935
"1888-02",65.333
"1888-03",57.097
"1888-04",61.333
"1888-05",136.452
"1888-06",574.194
"1888-07",630
"1888-08",377.419
"1888-09",196
"1888-10",140.323
"1888-11",98.065
"1888-12",67.143
"1889-01",53.548
"1889-02",45.333
"1889-03",41.29
"1889-04",44.667
"1889-05",161.935
"1889-06",719.355
"1889-07",863.333
"1889-08",567.742
"1889-09",287.667
"1889-10",185.161
"1889-11",141.613
"1889-12",91.429
"1890-01",63.226
"1890-02",47.667
"1890-03",40.968
"1890-04",53.333
"1890-05",189.355
"1890-06",832.258
"1890-07",913.333
"1890-08",690.323
"1890-09",410
"1890-10",253.548
"1890-11",182.903
"1890-12",121.429
"1891-01",75.161
"1891-02",57
"1891-03",52.258
"1891-04",104
"1891-05",184.194
"1891-06",703.226
"1891-07",853.333
"1891-08",635.484
"1891-09",410
"1891-10",243.871
"1891-11",167.742
"1891-12",120.357
"1892-01",74.516
"1892-02",53
"1892-03",43.226
"1892-04",46
"1892-05",181.935
"1892-06",767.742
"1892-07",1053.333
"1892-08",764.516
"1892-09",413.333
"1892-10",269.677
"1892-11",214.839
"1892-12",185.714
"1893-01",162.581
"1893-02",145.667
"1893-03",86.452
"1893-04",70.333
"1893-05",159.032
"1893-06",722.581
"1893-07",793.333
"1893-08",641.935
"1893-09",360
"1893-10",227.419
"1893-11",173.871
"1893-12",125.357
"1894-01",79.355
"1894-02",61.667
"1894-03",59.677
"1894-04",71.667
"1894-05",246.774
"1894-06",841.935
"1894-07",956.667
"1894-08",780.645
"1894-09",413.333
"1894-10",281.29
"1894-11",218.71
"1894-12",180.357
"1895-01",151.935
"1895-02",113.667
"1895-03",90.968
"1895-04",86.667
"1895-05",250
"1895-06",938.71
"1895-07",903.333
"1895-08",564.516
"1895-09",353.333
"1895-10",272.903
"1895-11",207.097
"1895-12",172.5
"1896-01",121.613
"1896-02",89
"1896-03",76.774
"1896-04",77.333
"1896-05",229.032
"1896-06",706.452
"1896-07",930
"1896-08",606.452
"1896-09",43.333
"1896-10",354.839
"1896-11",225.806
"1896-12",174.643
"1897-01",130.323
"1897-02",92
"1897-03",78.065
"1897-04",90
"1897-05",185.806
"1897-06",612.903
"1897-07",786.667
"1897-08",529.032
"1897-09",275
"1897-10",188.065
"1897-11",150
"1897-12",117.5
"1898-01",78.387
"1898-02",60
"1898-03",51.29
"1898-04",50.667
"1898-05",129.032
"1898-06",783.871
"1898-07",900
"1898-08",648.387
"1898-09",376.667
"1898-10",262.581
"1898-11",194.839
"1898-12",166.071
"1899-01",139.355
"1899-02",99.667
"1899-03",71.613
"1899-04",70
"1899-05",155.161
"1899-06",477.419
"1899-07",563.333
"1899-08",332.258
"1899-09",165.667
"1899-10",108.387
"1899-11",69.032
"1899-12",52.5
"1900-01",40.323
"1900-02",34
"1900-03",34.194
"1900-04",47
"1900-05",124.516
"1900-06",716.129
"1900-07",716.667
"1900-08",509.677
"1900-09",240.667
"1900-10",162.581
"1900-11",120.968
"1900-12",83.929
"1901-01",62.258
"1901-02",48.333
"1901-03",48.71
"1901-04",54
"1901-05",171.613
"1901-06",664.516
"1901-07",783.333
"1901-08",429.032
"1901-09",241
"1901-10",159.355
"1901-11",106.452
"1901-12",70.714
"1902-01",53.871
"1902-02",46.667
"1902-03",42.903
"1902-04",48.667
"1902-05",110.323
"1902-06",358.065
"1902-07",613.333
"1902-08",458.065
"1902-09",227
"1902-10",141.935
"1902-11",111.935
"1902-12",77.143
"1903-01",53.871
"1903-02",41.333
"1903-03",40.323
"1903-04",79
"1903-05",160.968
"1903-06",570.968
"1903-07",826.667
"1903-08",600
"1903-09",340
"1903-10",181.29
"1903-11",135.161
"1903-12",115.357
"1904-01",76.774
"1904-02",55.667
"1904-03",57.742
"1904-04",97.333
"1904-05",164.839
"1904-06",609.677
"1904-07",633.333
"1904-08",419.355
"1904-09",203.333
"1904-10",145.484
"1904-11",121.935
"1904-12",87.143
"1905-01",61.935
"1905-02",45
"1905-03",46.452
"1905-04",53
"1905-05",95.484
"1905-06",400
"1905-07",653.333
"1905-08",425.806
"1905-09",176.333
"1905-10",135.161
"1905-11",116.129
"1905-12",93.929
"1906-01",67.419
"1906-02",62
"1906-03",58.065
"1906-04",65.667
"1906-05",123.548
"1906-06",574.194
"1906-07",826.667
"1906-08",564.516
"1906-09",289.333
"1906-10",166.774
"1906-11",130.645
"1906-12",102.143
"1907-01",65.806
"1907-02",59.667
"1907-03",59.032
"1907-04",62.333
"1907-05",117.097
"1907-06",377.419
"1907-07",586.667
"1907-08",361.29
"1907-09",208.667
"1907-10",132.903
"1907-11",113.548
"1907-12",77.5
"1908-01",57.097
"1908-02",51.667
"1908-03",47.742
"1908-04",50.667
"1908-05",111.935
"1908-06",706.452
"1908-07",976.667
"1908-08",661.29
"1908-09",310.667
"1908-10",171.613
"1908-11",141.613
"1908-12",121.429
"1909-01",80.323
"1909-02",59
"1909-03",64.194
"1909-04",120
"1909-05",185.161
"1909-06",667.742
"1909-07",860
"1909-08",625.806
"1909-09",317.333
"1909-10",207.097
"1909-11",137.419
"1909-12",135.357
"1910-01",100.645
"1910-02",61
"1910-03",55.161
"1910-04",73.333
"1910-05",114.516
"1910-06",525.806
"1910-07",816.667
"1910-08",609.677
"1910-09",356.667
"1910-10",190.645
"1910-11",139.355
"1910-12",91.429
"1911-01",68.71
"1911-02",46.667
"1911-03",50
"1911-04",69.333
"1911-05",112.903
"1911-06",483.871
"1911-07",776.667
"1911-08",467.742
"1911-09",246.667
"1911-10",158.71
"1911-11",109.032
"1911-12",83.571
"1912-01",57.419
"1912-02",49.333
"1912-03",47.742
"1912-04",51
"1912-05",110.968
"1912-06",600
"1912-07",606.667
"1912-08",332.258
"1912-09",147.667
"1912-10",130
"1912-11",101.935
"1912-12",68.929
"1913-01",50.323
"1913-02",54.667
"1913-03",60.323
"1913-04",65.333
"1913-05",80
"1913-06",211.29
"1913-07",406.667
"1913-08",242.581
"1913-09",88.333
"1913-10",64.516
"1913-11",48.71
"1913-12",40.714
"1914-01",51.935
"1914-02",47.667
"1914-03",48.065
"1914-04",56.333
"1914-05",73.871
"1914-06",625.806
"1914-07",666.667
"1914-08",532.258
"1914-09",356.667
"1914-10",203.548
"1914-11",108.387
"1914-12",91.786
"1915-01",66.129
"1915-02",57
"1915-03",57.742
"1915-04",75.333
"1915-05",110.968
"1915-06",345.161
"1915-07",496.667
"1915-08",474.194
"1915-09",258.333
"1915-10",131.29
"1915-11",104.194
"1915-12",75
"1916-01",55.161
"1916-02",50
"1916-03",60.968
"1916-04",75
"1916-05",172.258
"1916-06",806.452
"1916-07",886.667
"1916-08",722.581
"1916-09",443.333
"1916-10",253.226
"1916-11",133.226
"1916-12",108.214
"1917-01",107.742
"1917-02",74
"1917-03",70.968
"1917-04",106.667
"1917-05",176.452
"1917-06",564.516
"1917-07",926.667
"1917-08",735.484
"1917-09",386.667
"1917-10",236.774
"1917-11",128.387
"1917-12",117.5
"1918-01",136.452
"1918-02",139.667
"1918-03",129.032
"1918-04",154
"1918-05",189.355
"1918-06",438.71
"1918-07",590
"1918-08",358.065
"1918-09",179.333
"1918-10",99.032
"1918-11",107.742
"1918-12",74.643
"1919-01",64.839
"1919-02",70
"1919-03",71.29
"1919-04",77
"1919-05",132.258
"1919-06",535.484
"1919-07",693.333
"1919-08",406.452
"1919-09",194.333
"1919-10",96.774
"1919-11",85.161
"1919-12",67.5
"1920-01",53.548
"1920-02",53.667
"1920-03",60.645
"1920-04",100.667
"1920-05",185.806
"1920-06",587.097
"1920-07",593.333
"1920-08",483.871
"1920-09",298
"1920-10",123.226
"1920-11",96.774
"1920-12",76.429
"1921-01",61.613
"1921-02",59.667
"1921-03",60.968
"1921-04",70.333
"1921-05",110.968
"1921-06",496.774
"1921-07",653.333
"1921-08",477.419
"1921-09",236.333
"1921-10",103.871
"1921-11",96.452
"1921-12",70.714
"1922-01",49.677
"1922-02",48
"1922-03",48.71
"1922-04",61.333
"1922-05",120.323
"1922-06",606.452
"1922-07",786.667
"1922-08",512.903
"1922-09",271.667
"1922-10",110
"1922-11",87.419
"1922-12",79.286
"1923-01",50.968
"1923-02",50.667
"1923-03",67.097
"1923-04",110
"1923-05",142.258
"1923-06",648.387
"1923-07",713.333
"1923-08",522.581
"1923-09",238
"1923-10",124.516
"1923-11",97.419
"1923-12",86.786
"1924-01",61.613
"1924-02",58.667
"1924-03",68.065
"1924-04",84
"1924-05",180.645
"1924-06",580.645
"1924-07",743.333
"1924-08",461.29
"1924-09",266
"1924-10",144.839
"1924-11",80.323
"1924-12",85.714
"1925-01",60.968
"1925-02",57.333
"1925-03",66.774
"1925-04",86.667
"1925-05",133.548
"1925-06",429.032
"1925-07",550
"1925-08",400
"1925-09",154.333
"1925-10",112.581
"1925-11",100
"1925-12",78.214
"1926-01",53.226
"1926-02",57
"1926-03",75.484
"1926-04",105
"1926-05",160.968
"1926-06",606.452
"1926-07",683.333
"1926-08",464.516
"1926-09",266.667
"1926-10",113.548
"1926-11",90.323
"1926-12",98.214
"1927-01",63.226
"1927-02",60
"1927-03",72.581
"1927-04",88
"1927-05",145.484
"1927-06",493.548
"1927-07",610
"1927-08",429.032
"1927-09",147.333
"1927-10",93.871
"1927-11",70.323
"1927-12",62.857
"1928-01",51.935
"1928-02",55.667
"1928-03",76.452
"1928-04",98.667
"1928-05",214.516
"1928-06",577.419
"1928-07",663.333
"1928-08",396.774
"1928-09",213
"1928-10",109.032
"1928-11",89.355
"1928-12",79.643
"1929-01",63.548
"1929-02",62.333
"1929-03",79.032
"1929-04",124
"1929-05",303.871
"1929-06",738.71
"1929-07",813.333
"1929-08",574.194
"1929-09",319.667
"1929-10",113.226
"1929-11",106.774
"1929-12",97.857
"1930-01",68.71
"1930-02",65.333
"1930-03",81.29
"1930-04",93.667
"1930-05",151.935
"1930-06",574.194
"1930-07",583.333
"1930-08",377.419
"1930-09",117.333
"1930-10",102.903
"1930-11",76.452
"1930-12",62.857
"1931-01",62.581
"1931-02",57
"1931-03",57.419
"1931-04",67.333
"1931-05",99.355
"1931-06",500
"1931-07",706.667
"1931-08",477.419
"1931-09",261.333
"1931-10",100
"1931-11",88.065
"1931-12",72.143
"1932-01",66.774
"1932-02",55
"1932-03",70.645
"1932-04",93.333
"1932-05",140.968
"1932-06",596.774
"1932-07",760
"1932-08",506.452
"1932-09",235.333
"1932-10",99.355
"1932-11",113.226
"1932-12",117.5
"1933-01",87.097
"1933-02",66.333
"1933-03",83.226
"1933-04",101
"1933-05",119.032
"1933-06",409.677
"1933-07",736.667
"1933-08",487.097
"1933-09",244.667
"1933-10",139.032
"1933-11",112.581
"1933-12",97.5
"1934-01",76.452
"1934-02",68.333
"1934-03",84.194
"1934-04",107
"1934-05",208.387
"1934-06",651.613
"1934-07",790
"1934-08",496.774
"1934-09",201.333
"1934-10",109.032
"1934-11",113.226
"1934-12",97.5
"1935-01",77.742
"1935-02",73
"1935-03",98.065
"1935-04",139.667
"1935-05",253.871
"1935-06",677.419
"1935-07",796.667
"1935-08",561.29
"1935-09",166.667
"1935-10",115.484
"1935-11",110.323
"1935-12",95.714
"1936-01",77.419
"1936-02",73
"1936-03",100
"1936-04",121.667
"1936-05",193.548
"1936-06",603.226
"1936-07",793.333
"1936-08",461.29
"1936-09",150
"1936-10",112.581
"1936-11",95.161
"1936-12",80.357
"1937-01",73.548
"1937-02",66.333
"1937-03",78.387
"1937-04",105.667
"1937-05",150.645
"1937-06",629.032
"1937-07",736.667
"1937-08",400
"1937-09",106.333
"1937-10",116.774
"1937-11",104.194
"1937-12",81.786
"1938-01",74.839
"1938-02",67.333
"1938-03",89.355
"1938-04",113
"1938-05",149.355
"1938-06",725.806
"1938-07",936.667
"1938-08",622.581
"1938-09",214
"1938-10",115.484
"1938-11",111.29
"1938-12",108.929
"1939-01",80.968
"1939-02",73.667
"1939-03",105.161
"1939-04",137
"1939-05",164.839
"1939-06",425.806
"1939-07",606.667
"1939-08",338.71
"1939-09",176.667
"1939-10",133.871
"1939-11",101.613
"1939-12",83.929
"1940-01",74.516
"1940-02",69
"1940-03",96.129
"1940-04",113
"1940-05",127.742
"1940-06",483.871
"1940-07",596.667
"1940-08",250.645
"1940-09",95.667
"1940-10",77.419
"1940-11",70.645
"1940-12",76.071
"1941-01",67.097
"1941-02",65
"1941-03",85.161
"1941-04",120.333
"1941-05",151.29
"1941-06",383.871
"1941-07",473.333
"1941-08",276.129
"1941-09",180.333
"1941-10",131.935
"1941-11",85.806
"1941-12",87.5
"1942-01",76.452
"1942-02",82.667
"1942-03",107.742
"1942-04",134.667
"1942-05",181.613
"1942-06",648.387
"1942-07",670
"1942-08",448.387
"1942-09",108.667
"1942-10",95.161
"1942-11",80.645
"1942-12",88.929
"1943-01",71.29
"1943-02",79.333
"1943-03",100
"1943-04",112.667
"1943-05",127.742
"1943-06",470.968
"1943-07",813.333
"1943-08",387.097
"1943-09",153.333
"1943-10",119.355
"1943-11",90.323
"1943-12",96.071
"1944-01",80.323
"1944-02",76
"1944-03",102.258
"1944-04",134.667
"1944-05",164.194
"1944-06",532.258
"1944-07",596.667
"1944-08",305.484
"1944-09",100.333
"1944-10",105.161
"1944-11",76.129
"1944-12",91.429
"1945-01",68.387
"1945-02",74
"1945-03",90
"1945-04",132
"1945-05",146.774
"1945-06",477.419
"1945-07",626.667
"1945-08",477.419
"1945-09",160.667
"1945-10",151.613
